"species","total_occ","recent_occ"
"Aegopodium podagraria",2639,2424
"Aletes acaulis",94,11
"Alnus alnobetula",4034,1626
"Alnus incana",5627,2762
"Alnus rubra",2876,2378
"Amelanchier canadensis",737,166
"Amyris elemifera",275,78
"Amyris texana",143,87
"Anethum graveolens",242,98
"Angelica ampla",83,18
"Angelica archangelica",13,4
"Angelica arguta",176,107
"Angelica atropurpurea",1250,789
"Angelica hendersonii",322,250
"Angelica kingii",45,17
"Angelica lineariloba",198,117
"Angelica lucida",647,283
"Angelica sylvestris",248,235
"Angelica tomentosa",205,52
"Angelica venenosa",478,135
"Apium graveolens",832,450
"Artemisia dracunculus",2658,1135
"Artemisia norvegica",988,375
"Berula erecta",1310,332
"Betula pubescens",39,3
"Betula alleghaniensis",7598,6572
"Betula lenta",2050,1430
"Betula papyrifera",9423,7100
"Bupleurum fruticescens",4,2
"Carpinus caroliniana",6855,4692
"Carum carvi",574,103
"Casimiroa greggii",149,52
"Catalpa bignonioides",1341,831
"Cicuta bulbifera",1355,542
"Cicuta douglasii",691,193
"Cicuta maculata",4199,1774
"Cinnamomum camphora",692,588
"Conioselinum chinense",426,105
"Conioselinum scopulorum",341,84
"Conium maculatum",7142,6032
"Crithmum maritimum",4,3
"Cryptotaenia canadensis",2890,1430
"Cydonia oblonga",291,211
"Aulospermum panamintense",30,16
"Cymopterus purpureus",217,51
"Daucus carota",18051,16233
"Daucus pusillus",3721,1847
"Dictamnus albus",20,8
"Eriodictyon californicum",3199,2748
"Falcaria vulgaris",13,5
"Ferula communis",4,2
"Foeniculum vulgare",7277,6675
"Fraxinus americana",6493,4906
"Fraxinus anomala",847,369
"Fraxinus caroliniana",444,323
"Fraxinus latifolia",1031,666
"Fraxinus nigra",2580,1774
"Fraxinus pennsylvanica",41981,23097
"Harbouria trachypleura",230,71
"Heracleum sphondylium",793,123
"Heracleum sphondylium",7397,6558
"Heracleum sphondylium",8473,6764
"Holodiscus discolor",7655,5700
"Levisticum officinale",75,25
"Ligusticum grayi",548,237
"Ligusticum porteri",380,141
"Ligusticum scoticum",782,391
"Ligustrum lucidum",4106,4009
"Ligustrum vulgare",1097,881
"Lindera benzoin",9157,7948
"Liriodendron tulipifera",26954,25973
"Lomatium californicum",377,248
"Lomatium dasycarpum",1382,876
"Lomatium dissectum",735,508
"Lomatium eastwoodiae",34,4
"Lomatium grayi",661,181
"Lomatium junceum",20,4
"Lomatium latilobum",35,21
"Lomatium lucidum",399,230
"Lomatium marginatum",153,62
"Lomatium nuttallii",66,19
"Lomatium parryi",243,105
"Lomatium scabrum",105,31
"Lomatium triternatum",1304,565
"Lomatium utriculatum",2218,1556
"Magnolia acuminata",859,578
"Magnolia virginiana",1838,1593
"Malus pumila",2907,1820
"Oenanthe sarmentosa",1143,690
"Osmorhiza longistylis",2393,1249
"Papilio appalachiensis",73,72
"Papilio aristodemus",62,23
"Papilio brevicauda",412,114
"Papilio canadensis",7380,3726
"Papilio cresphontes",10354,8190
"Papilio eurymedon",3735,2713
"Papilio glaucus",33219,29275
"Papilio indra",933,253
"Papilio machaon",2788,798
"Papilio multicaudata",4453,3428
"Papilio palamedes",2731,2195
"Papilio polibetes",21672,20382
"Papilio rumiko",3711,3555
"Papilio rutulus",6921,5290
"Papilio troilus",12001,9580
"Papilio zelicaon",7200,5331
"Pastinaca sativa",3617,2756
"Perideridia bolanderi",334,80
"Perideridia gairdneri",554,194
"Perideridia kelloggii",239,153
"Persea americana",2431,883
"Persea borbonia",523,404
"Petroselinum crispum",185,99
"Peucedanum oreoselinum",2,2
"Pimpinella saxifraga",136,67
"Platanus racemosa",3847,3782
"Platanus wrightii",889,640
"Populus angustifolia",1968,1419
"Populus balsamifera",3772,1882
"Populus deltoides",9361,7377
"Populus grandidentata",4326,3315
"Populus tremuloides",12938,10207
"Populus trichocarpa",2174,1487
"Prunus americana",2098,902
"Prunus caroliniana",2229,2095
"Prunus cerasus",184,68
"Prunus domestica",554,379
"Prunus emarginata",3015,1050
"Prunus ilicifolia",3994,2786
"Prunus pensylvanica",3207,1470
"Prunus persica",3401,2951
"Prunus serotina",18274,14035
"Prunus virginiana",14199,9667
"Cymopterus lemmonii",745,357
"Ptelea crenulata",401,308
"Ptelea trifoliata",4555,2855
"Pteryxia hendersonii",125,25
"Pteryxia petraea",226,107
"Pteryxia terebinthina",547,147
"Ptilimnium capillaceum",658,401
"Frangula californica",541,172
"Ruta chalepensis",274,94
"Ruta graveolens",183,69
"Salix babylonica",669,437
"Salix exigua",6059,2397
"Salix hookeriana",288,154
"Salix lucida",817,272
"Salix lasiolepis",5276,2181
"Salix scouleriana",669,295
"Sassafras albidum",16793,15549
"Seseli libanotis",3,2
"Silaum silaus",2,0
"Sium suave",2491,1123
"Sorbus americana",1798,1316
"Spermolepis divaricata",111,50
"Angelica capitellata",349,88
"Syringa vulgaris",9246,8985
"Taenidia integerrima",1079,561
"Tauschia arguta",811,493
"Tauschia parishii",426,195
"Thamnosma montana",1781,1085
"Thamnosma texana",701,318
"Thaspium barbinode",663,186
"Tiedemannia canbyi",7,1
"Tilia americana",15392,12542
"Trinia glauca",2,2
"Vauquelinia californica",352,108
"Zanthoxylum americanum",2331,1519
"Zanthoxylum clava-herculis",2731,2515
"Zanthoxylum fagara",1591,785
"Zizia aptera",1263,582
"Zizia aurea",5198,3636
