"insect","distribution","climate","area_sqkm","area_national_sqkm","area_state_sqkm","area_local_sqkm","area_private_sqkm","proportion_national","proportion_state","proportion_local","proportion_private"
"Papilio appalachiensis","total insect","current",77962.0206746833,5607.02222824448,7897.64412138437,176.303196563082,158.353119947154,0.0719199192083698,0.101301172712536,0.00226139849938925,0.0020311572041972
"Papilio appalachiensis","total insect","ssp245_2041",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","total insect","ssp245_2071",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","total insect","ssp370_2041",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","total insect","ssp370_2071",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","total insect","ssp585_2041",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","total insect","ssp585_2071",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","current",53301.7452804592,3666.62577131141,5236.51219608787,127.831112367188,114.57866386347,0.0687899758632411,0.0982427905228015,0.0023982537850229,0.00214962311760316
"Papilio appalachiensis","insect + host","ssp245_2041",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp245_2071",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp370_2041",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp370_2071",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp585_2041",0,0,0,0,0,NA,NA,NA,NA
"Papilio appalachiensis","insect + host","ssp585_2071",0,0,0,0,0,NA,NA,NA,NA
"Papilio rumiko","total insect","current",516640.723818396,34422.2931917316,2951.45589387202,1195.37322443454,1011.39067563854,0.066627138753838,0.0057127821284748,0.00231374177319928,0.00195762863632494
"Papilio rumiko","total insect","ssp245_2041",338578.933843135,27279.1374401544,1014.59813690402,1437.81260355257,1441.32023175865,0.080569505995293,0.00299663693008759,0.00424660975575849,0.00425696960941586
"Papilio rumiko","total insect","ssp245_2071",382368.570491443,29076.8848514859,1270.17327127853,1670.91753347274,1580.01716691772,0.0760441288731304,0.00332185584616964,0.00436991338311405,0.00413218368049179
"Papilio rumiko","total insect","ssp370_2041",361025.031216566,28763.7331892693,1161.0555038769,1664.43582693767,1567.00711489571,0.0796724069030409,0.00321599723976044,0.00461030588745863,0.00434043897071425
"Papilio rumiko","total insect","ssp370_2071",556734.879032545,49471.8911277133,2085.8398712522,1665.23485813061,2640.73756387563,0.088860771959684,0.00374655864004214,0.00299107334719954,0.00474325870953965
"Papilio rumiko","total insect","ssp585_2041",360742.122894232,32000.1982385263,1162.07230394666,1519.71204220378,1311.72927987193,0.0887065751617495,0.00322133798687928,0.00421273798028114,0.00363619659758039
"Papilio rumiko","total insect","ssp585_2071",638344.322430201,61472.2045539404,2273.39544443186,1710.55962787442,3018.27722313554,0.0962994459164505,0.00356139369388758,0.00267968174505298,0.00472829023002014
"Papilio rumiko","insect + host","current",339553.211681966,20837.7616491946,2742.64640717098,1085.36447294574,786.311740700367,0.0613681771583764,0.00807722122133781,0.00319644884985603,0.00231572464535204
"Papilio rumiko","insect + host","ssp245_2041",194499.121592369,16742.3441592666,1004.09633378324,1401.21925404927,1305.65344111111,0.0860792790332244,0.00516247233181659,0.00720424463914005,0.00671290147956295
"Papilio rumiko","insect + host","ssp245_2071",219276.204373591,17807.0892617471,1243.89646620784,1585.50571406204,1446.78066206827,0.0812084891409754,0.00567273804178292,0.00723063279297163,0.00659798296947588
"Papilio rumiko","insect + host","ssp370_2041",206580.907405344,18554.4765526154,1132.47281055696,1573.35777676617,1433.8264184442,0.0898169960896174,0.00548198197394339,0.00761618194308244,0.00694074992918301
"Papilio rumiko","insect + host","ssp370_2071",320357.940008127,30019.2035621935,1784.44508296672,1557.70485601413,2269.55368946483,0.0937051960111617,0.0055701603116859,0.00486238878916071,0.00708443090065836
"Papilio rumiko","insect + host","ssp585_2041",201139.344384728,19970.3932753071,1103.04284722042,1429.53747763862,1174.47148963973,0.0992863595951117,0.00548397356367329,0.00710719964814184,0.00583909375479157
"Papilio rumiko","insect + host","ssp585_2071",366128.999657136,35542.431057391,1847.55918879968,1596.84861065655,2482.63663918556,0.0970762520605441,0.00504619735265395,0.0043614371223037,0.00678077027908317
