"climate_model","Coefficient","Estimate","Std. Error","t value","Pr(>|t|)"
"ssp245_2041","(Intercept)",-0.0585638258425083,0.000874026344133603,-67.0046460676891,0
"ssp245_2041","protection_levelNational",0.0423968104369144,0.00276614216715738,15.3270540250227,5.08694406939847e-53
"ssp245_2041","protection_levelState",-0.0553471937700568,0.00424577497239417,-13.0358283540512,7.68769133208882e-39
"ssp245_2041","protection_levelLocal",-0.751087898561631,0.0297935746927159,-25.2097274767523,3.33548853277985e-140
"ssp245_2041","protection_levelPrivate",-0.409682799321853,0.0250520502318051,-16.3532643249188,4.16895901864903e-60
"ssp245_2071","(Intercept)",-0.0332929165678715,0.000886903023528358,-37.5383956133361,2.96027954806813e-308
"ssp245_2071","protection_levelNational",0.0237637624152583,0.00280689462969569,8.46621108033354,2.53711096634339e-17
"ssp245_2071","protection_levelState",-0.043661895763848,0.00430832627129809,-10.1343057638698,3.89773626967347e-24
"ssp245_2071","protection_levelLocal",-0.778854336773913,0.0302325114729592,-25.7621447517036,2.52261769534587e-146
"ssp245_2071","protection_levelPrivate",-0.420152473240091,0.0254211320348669,-16.5276854179358,2.34581638992684e-61
"ssp370_2041","(Intercept)",-0.0407714172660674,0.000877834896204869,-46.4454277704542,0
"ssp370_2041","protection_levelNational",0.0309230367092223,0.0027781955755596,11.1306190900522,8.92294700160275e-29
"ssp370_2041","protection_levelState",-0.0502927920845821,0.00426427585074158,-11.7939818728744,4.20510996692672e-32
"ssp370_2041","protection_levelLocal",-0.757197857613876,0.0299233995902924,-25.3045398578149,3.03349861490914e-141
"ssp370_2041","protection_levelPrivate",-0.400244202058167,0.0251612140326908,-15.9071895949913,5.70581569207869e-57
"ssp370_2071","(Intercept)",0.0314093211020877,0.00090644774158329,34.6510004506439,5.39044361327753e-263
"ssp370_2071","protection_levelNational",-0.00289849162742303,0.00286875028098105,-1.01036735286412,0.312319473948869
"ssp370_2071","protection_levelState",-0.0174285580921161,0.00440326903282593,-3.95809521566544,7.55530598209493e-05
"ssp370_2071","protection_levelLocal",-0.817193908073427,0.0308987465597229,-26.4474776183528,4.20740185274062e-154
"ssp370_2071","protection_levelPrivate",-0.404162991863098,0.0259813385569757,-15.5558956662987,1.46438219098048e-54
"ssp585_2041","(Intercept)",-0.0348540691058637,0.000884374138639657,-39.4109999185143,0
"ssp585_2041","protection_levelNational",0.0186596482305125,0.00279889114653585,6.666800262528,2.61523726616486e-11
"ssp585_2041","protection_levelState",-0.048464716332861,0.00429604165740678,-11.2812491585838,1.62835663799886e-29
"ssp585_2041","protection_levelLocal",-0.78846020812955,0.0301463075257595,-26.1544538234351,9.42829930863933e-151
"ssp585_2041","protection_levelPrivate",-0.391544995020612,0.0253486470901196,-15.4463862954339,8.05028904667358e-54
"ssp585_2071","(Intercept)",0.0232382088762314,0.00091208461084235,25.4781284542998,3.67730598544735e-143
"ssp585_2071","protection_levelNational",-0.0107710521558275,0.00288658999697232,-3.73141047641855,0.000190417169164697
"ssp585_2071","protection_levelState",0.0335369067558253,0.00443065136355704,7.56929489683453,3.75452040023867e-14
"ssp585_2071","protection_levelLocal",-0.836580946088815,0.0310908946413341,-26.9075867947722,1.94136052532355e-159
"ssp585_2071","protection_levelPrivate",-0.462345526932327,0.0261429070643507,-17.6853142534709,5.5249308520951e-70
