"climate_model","protection_level","t","df","p","estimate","sterr","comparison","adj_p"
"ssp245_2041","Local",-58.1809581960138,12239.401674512,0,-0.80965172435347,0.0139160947062048,"forecast - current",0
"ssp245_2041","National",-8.39095549286654,193796.236609602,0,-0.0161670154046051,0.00192671924172989,"forecast - current",0
"ssp245_2041","Private",-43.3989575644105,16382.0067362911,0,-0.468246625182472,0.0107893518983152,"forecast - current",0
"ssp245_2041","State",-52.4933550912972,112801.544898884,0,-0.113911019613737,0.00217000836421337,"forecast - current",0
"ssp245_2041","None",-61.413073013356,1243274.60757308,0,-0.0585638258426037,0.000953605201124967,"forecast - current",0
"ssp245_2071","Local",-58.4967737063831,12239.401674512,0,-0.812147253282751,0.0138836247167958,"forecast - current",0
"ssp245_2071","National",-4.89104379976647,193796.236609602,1.0038280711111e-06,-0.00952915415191557,0.0019482864071613,"forecast - current",1.0038280711111e-06
"ssp245_2071","Private",-41.1536580102986,16382.0067362911,0,-0.453445389779064,0.0110183495636182,"forecast - current",0
"ssp245_2071","State",-34.5460833033828,112801.544898884,0,-0.0769548123346898,0.00222759876015103,"forecast - current",0
"ssp245_2071","None",-34.4051323017713,1243274.60757308,0,-0.0332929165679176,0.000967672970297036,"forecast - current",0
"ssp370_2041","Local",-57.6609639023043,12239.401674512,0,-0.797969274820782,0.0138389860456164,"forecast - current",0
"ssp370_2041","National",-5.06462156423643,193796.236609602,4.09586581096022e-07,-0.00984838055675613,0.00194454421358942,"forecast - current",8.19173162192044e-07
"ssp370_2041","Private",-39.8407386395092,16382.0067362911,0,-0.441015619308983,0.0110694639298589,"forecast - current",0
"ssp370_2041","State",-41.3428912583216,112801.544898884,0,-0.0910642093523364,0.00220265701262503,"forecast - current",0
"ssp370_2041","None",-42.5948474553573,1243274.60757308,0,-0.0407714172660605,0.000957191296641974,"forecast - current",0
"ssp370_2071","Local",-54.7361920754101,12239.401674512,0,-0.785784586917527,0.0143558504368545,"forecast - current",0
"ssp370_2071","National",14.179064743045,193796.236609602,0,0.028510829475096,0.00201076939782511,"forecast - current",0
"ssp370_2071","Private",-31.4155271639536,16382.0067362911,0,-0.372753670744766,0.0118652686870226,"forecast - current",0
"ssp370_2071","State",5.80756492834815,112801.544898884,6.35573416118973e-09,0.0139807630101419,0.00240733649690223,"forecast - current",1.90672024835692e-08
"ssp370_2071","None",31.8250927231196,1243274.60757308,0,0.0314093211020057,0.000986935729465704,"forecast - current",0
"ssp585_2041","Local",-59.920775636006,12239.401674512,0,-0.823314277224983,0.0137400470619118,"forecast - current",0
"ssp585_2041","National",-8.35977882269091,193796.236609602,0,-0.0161944208754098,0.00193718293496634,"forecast - current",0
"ssp585_2041","Private",-38.3033430119376,16382.0067362911,0,-0.426399064116109,0.0111321631634925,"forecast - current",0
"ssp585_2041","State",-37.0336054169527,112801.544898884,0,-0.0833187854398146,0.00224981566071539,"forecast - current",0
"ssp585_2041","None",-36.1246919279329,1243274.60757308,0,-0.0348540691058299,0.000964826749951591,"forecast - current",0
"ssp585_2071","Local",-52.6430022371009,12239.401674512,0,-0.813342737133754,0.0154501586644034,"forecast - current",0
"ssp585_2071","National",6.39763272636886,193796.236609602,1.58162150043495e-10,0.0124671567200294,0.00194871404053002,"forecast - current",6.32648600173980e-10
"ssp585_2071","Private",-36.3013900845349,16382.0067362911,0,-0.439107318027412,0.0120961571169827,"forecast - current",0
"ssp585_2071","State",22.4475314827516,112801.544898884,0,0.0567751156337316,0.00252923648541742,"forecast - current",0
"ssp585_2071","None",23.3685837620378,1243274.60757308,0,0.0232382088761438,0.000994420933368425,"forecast - current",0
